galactic year,galaxy,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",y,Index
992016,Andromeda Galaxy (M31),0.791677312,69.15488496,17407.79495,0.65830919,14.66065133,,,,,0.048472518,465
992016,Andromeda I,0.65328657,64.56965419,19613.89292,0.581985457,11.49607889,6.303754232,0.547853498,0.423126643,149.091501,0.05258501,391
992016,Andromeda II,1.035356411,84.36829822,36846.16571,0.983085209,16.81734408,11.04240349,0.963616274,0.873392033,76.99411999,0.170547163,438
992016,Andromeda III,0.875680982,78.68311791,32855.59807,0.999514552,15.57443231,13.47709995,0.930240883,0.912148021,,0.111424426,535
992016,Andromeda IX,1.053106834,86.99567116,46564.14752,1.071670023,17.34518881,9.080892297,0.97244957,0.629694022,91.82771059,0.152397116,425
992016,Andromeda V,1.068612738,81.68896805,56037.09033,1.157221352,17.88785167,12.91288441,0.926338278,0.873066004,50.55759699,0.211213096,403
992016,Andromeda VIII,0.732322109,69.49228923,23075.1525,0.557797471,14.20341892,8.486513638,0.631773272,0.568066354,141.8082008,0.050874529,434
992016,Andromeda X,0.705282868,63.84771827,16682.56794,0.628739295,8.915464801,,,,,0.052135067,412
992016,Andromeda XI,0.651499416,55.00391834,21152.52335,0.629229127,9.901684418,6.310426724,0.597063735,0.598297912,170.8733522,0.049829635,408
992016,Andromeda XII,0.814772123,71.59699238,27376.23864,0.865756119,,7.696135354,,,,0.060673465,361
992016,Andromeda XIX[60],1.09408622,88.6815419,26297.45028,1.043237983,16.33114893,10.29334104,0.933349744,0.911662151,86.49690949,0.142129584,524
992016,Andromeda XV,0.914153066,85.47087412,39955.42047,0.919234112,15.95617545,15.55104432,0.942014406,0.885974198,101.9055506,0.139756916,479
992016,Andromeda XVII,0.608487517,57.61900158,20909.96799,0.6454339,5.646877918,,,,,0.066042329,523
992016,Andromeda XVIII[60],0.7774209,71.49805268,25016.35342,0.72784288,,,,,,0.04797725,472
