galactic year,galaxy,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y,Index
990025,Andromeda Galaxy (M31),0.759988914,72.02062782,18445.32347,0.647025187,13.81928725,,,,,71.97781114,779.1407916,53.71799291,136.1485198,94.37259053,13.48630845,486.3115161,46.74435072,68.37383063,70.00934183,13.36470159,97.57982062,94.59541997,,,,,,,,,,47.13580429,,,,320.476039,414.9731,39.09196295,10.56151476,18703.50025,5207.627576,14.91649272,166.9769312,,9.877102725,,,16.93698862,13.04669077,648.659153,31.94317652,,,,,,,75.08494114,16.99239796,,,127.531343,,,,,,,,,,,,55.48252556,,0.049213535,125
990025,Andromeda I,0.588206218,62.47345617,12072.37332,0.614855131,8.368088884,5.066478474,0.578664147,0.548010634,166.5975956,,883.5965912,41.49022317,202.5123448,138.4659844,17.67023217,307.6831549,87.0148382,64.81226707,63.08087034,49.77126899,109.1521143,167.570379,2.332351731,105.9778259,10.31843884,118.2986048,87.43394957,87.73832999,39.36498859,90.12296478,91.56295833,100.5005549,53.02494394,2.019866128,21.4898966,437.7982512,541.3024462,88.19722319,72.42621842,23971.05808,5344.914028,13.23608581,91.87088731,,10.7391067,4.28107999,8.460345165,9.048348313,10.0173202,1067.401264,116.5422677,,,,76.2457033,28.23649222,63.46850008,,1.544445256,55.12078669,,111.2192004,,,,,,,,,,,2.94020505,,,0.05320383,68
990025,Andromeda II,1.063380915,93.57640375,34891.83074,0.945704923,15.45232445,13.26703582,1.013674346,0.773925813,63.93345586,38.24985199,1037.163377,92.3237039,46.06079034,28.40314185,27.02011271,385.343237,69.42483476,90.2269021,85.77575407,45.63223431,63.9623676,68.34204651,3.60855563,51.41744051,9.411672975,34.78117866,63.96883522,52.68519731,68.07978608,73.20513843,64.60803998,52.79890774,47.98180069,3.199701521,36.8045027,180.3308204,258.1423103,38.64756279,30.1060667,32277.76452,8093.489301,20.16573345,58.76686599,,4.792597987,10.08184102,10.10203531,14.42680451,16.58018471,249.3589597,38.8571633,,,141.8937265,,61.53524385,87.38962045,35.42540211,11.23697541,67.52935713,,110.9460637,,,,,,,,,,21.42798623,4.340754026,,,0.167935205,45
990025,Andromeda III,0.887710824,72.29627466,44701.17183,1.017182535,13.41846061,12.04510051,0.851110168,0.854048263,104.3581646,,876.7917651,83.15693053,58.66757522,34.30360642,26.86075955,307.4817003,70.09328248,75.68711379,86.89544603,49.16747744,55.69461073,112.4448753,1.921608802,63.08015138,17.94450521,28.77868183,66.80470313,63.36780727,60.17250646,70.02325384,59.58970932,48.44201351,57.8998695,2.133219214,35.43559006,253.5218937,394.6398376,15.25128115,15.30443991,,,,,,,12.01145839,12.22806564,16.16523039,13.3178764,445.8007535,23.13357055,,,132.5388805,,53.07112387,83.29549562,,,86.08375783,,95.1974749,,,,,,,,,,,3.254305299,,,0.110757916,64
990025,Andromeda IX,1.065572546,84.28907405,52420.89986,1.005839998,16.23803528,11.40737813,0.864308743,0.706695285,55.23584798,31.02005063,1041.230433,96.82201364,55.32775537,40.44248253,26.00273994,437.9836856,51.76902203,78.58934214,87.26534107,105.8541011,46.2804713,92.72396967,3.141519572,47.86272882,15.47573114,31.37936155,62.45105662,54.19586253,80.92174776,80.28656834,52.20745192,52.43875746,46.63205004,3.189403673,40.814475,182.561613,226.5481292,71.24508252,15.31166746,39079.95279,10982.19332,15.93805084,97.81317287,,15.92490612,10.67420128,11.31293025,16.53822867,16.96868243,398.7632648,20.65463551,,,153.7558938,,76.41709422,81.58740232,28.79499557,9.109859896,73.67035474,,105.1644108,,,,,,,,,,22.29599579,3.603877509,5.295677651,,0.151314286,40
990025,Andromeda V,1.116976323,90.75666917,51716.51594,0.987589689,16.30887605,11.6171244,1.074248251,0.860081841,46.00654263,43.38858515,571.251504,87.49579409,47.52850858,24.33517183,27.28764563,454.9541453,54.82626716,82.82309363,94.93379751,89.84430165,52.739046,48.80264426,3.519381286,46.55932395,9.605663329,34.184631,73.83839042,61.06584873,76.66602291,83.11447529,76.67436314,86.92394535,56.06590205,1.469585049,24.25404322,206.3190578,219.4063947,38.00885113,9.043753699,51600.65728,5589.850788,19.1480725,37.23690835,,11.27768676,14.32745239,12.59365511,16.51124775,15.11798783,319.5700457,41.67456991,,,136.263826,302.0121226,108.5474093,89.3058675,43.3369332,,80.55680058,,121.4845716,,,,,,,,,,,1.646092582,,,0.210201649,22
990025,Andromeda VIII,0.742498399,63.8821747,21784.13139,0.781452539,12.4433557,8.558296842,0.741799706,0.664270471,190.4498037,,631.3376315,43.36442059,166.2320399,112.3300946,19.11641957,370.3389357,61.10314167,61.09098152,74.76935132,73.13712471,107.5854075,152.4098223,3.114947166,77.75058672,39.15090235,100.1991387,88.29517669,79.32601924,18.79309233,94.27742892,62.0623927,26.76664265,79.49045721,1.653692695,55.02545649,353.0574314,402.8654275,34.12611573,20.30111515,22376.01696,6123.512514,15.57537128,,,7.700017646,7.862375907,6.418951002,13.60459116,11.83474497,992.712126,71.8812018,,,,120.9976659,48.23837795,34.03258291,,172.734338,37.29783529,,124.8729026,,,,,,,,,,,4.938996871,,,0.052111027,155
990025,Andromeda X,0.613387993,70.91288387,17316.38434,0.675271402,7.9673862,,,,,22.86419581,285.0358186,51.9466618,232.6881242,143.8124474,11.034909,646.4699455,46.10224996,54.02897365,65.01155523,78.85187882,92.90457018,205.1203021,2.19447927,114.7048941,12.32605785,109.1530717,91.61596915,94.09545091,36.92586143,95.80971196,93.43726675,50.40769903,58.64588303,1.765425114,21.22242909,351.8226176,542.8366312,65.31059129,42.33566874,22537.56287,6546.973813,13.31403686,115.6289277,,7.127460035,,,13.12922832,9.687328525,1272.002718,125.4998532,,,,82.10600175,,,22.83526975,8.360415206,,,105.3042689,,,,,,,,,,15.50643635,0.689836934,,,0.052900265,75
990025,Andromeda XI,0.657180131,62.55492928,16196.12566,0.679096358,12.93728113,6.529241526,0.561520017,0.48245046,154.0987866,21.78250205,913.5881728,47.23139636,203.6318349,119.4017478,18.68255916,464.0568325,41.48451847,60.98999921,68.95420333,71.74161795,102.7280094,102.5683842,2.86031946,141.051149,9.352051914,90.50762255,78.87934835,82.24068959,69.04736998,86.01268906,71.51745978,28.69031727,77.35179301,1.722663789,31.89516188,382.3754241,450.3067081,77.94989831,44.39016416,34280.13566,5779.122578,16.29409685,89.48660617,,10.62143838,4.905175112,6.474652436,,,929.0836619,109.2388393,,,,109.0981586,26.1369358,24.36012028,,,36.42465727,,,,,,,,,,,,8.73199405,6.684400692,,,0.050588211,9
990025,Andromeda XII,0.732062423,74.34490843,24548.49028,0.831541646,,7.417282936,,,,,676.0726141,50.76150662,163.1340193,96.9920839,18.34008134,354.958472,74.67467581,73.36623754,71.2728179,84.38402997,118.8187206,189.6281929,3.156674766,62.67424351,6.056926743,34.14966531,59.70127447,26.37223149,75.82689752,85.09356637,59.44169543,34.09763579,37.00936824,3.098808151,15.73768385,294.1445081,364.9458077,21.15235565,12.17680859,,,8.238291929,172.587021,,8.583284154,7.728063518,6.427102948,,,964.8865612,38.71183017,,,,111.1917434,48.12597956,51.53727269,,7.516321327,46.76991622,,,,,,,,,,,,,,,,0.060619068,143
